"Index" "DLTR.Open" "DLTR.High" "DLTR.Low" "DLTR.Close" "DLTR.Volume" "DLTR.Adjusted"
"2007-01-03" 10.123333 10.346667 10.116667 10.23 4521300 10.23
"2007-01-04" 10.25 10.343333 10.003333 10.216667 4615800 10.216667
"2007-01-05" 10.203333 10.926667 10.203333 10.676667 12265500 10.676667
"2007-01-08" 10.696667 10.806667 10.54 10.67 8189100 10.67
"2007-01-09" 10.743333 10.766667 10.583333 10.653333 3730500 10.653333
"2007-01-10" 10.653333 10.706667 10.58 10.67 2441100 10.67
"2007-01-11" 10.72 10.776667 10.636667 10.696667 2887200 10.696667
"2007-01-12" 10.706667 10.766667 10.596667 10.7 4113300 10.7
"2007-01-16" 10.713333 10.843333 10.623333 10.666667 3107100 10.666667
"2007-01-17" 10.68 10.693333 10.52 10.543333 1709700 10.543333
"2007-01-18" 10.573333 10.65 10.466667 10.576667 2697900 10.576667
"2007-01-19" 10.57 10.593333 10.416667 10.533333 2831400 10.533333
"2007-01-22" 10.556667 10.65 10.386667 10.5 2077500 10.5
"2007-01-23" 10.52 10.546667 10.43 10.47 1797300 10.47
"2007-01-24" 10.46 10.57 10.45 10.536667 2159100 10.536667
"2007-01-25" 10.473333 10.473333 10.206667 10.253333 3831000 10.253333
"2007-01-26" 10.296667 10.32 10.143333 10.283333 3137700 10.283333
"2007-01-29" 10.286667 10.47 10.21 10.423333 4050300 10.423333
"2007-01-30" 10.43 10.446667 10.31 10.37 1864200 10.37
"2007-01-31" 10.376667 10.526667 10.313333 10.483333 1954800 10.483333
"2007-02-01" 10.526667 10.603333 10.446667 10.553333 4134900 10.553333
"2007-02-02" 10.553333 10.62 10.51 10.58 2490900 10.58
"2007-02-05" 10.53 10.55 10.413333 10.533333 1998600 10.533333
"2007-02-06" 10.533333 10.58 10.44 10.533333 1774800 10.533333
"2007-02-07" 10.546667 10.646667 10.47 10.603333 2527500 10.603333
"2007-02-08" 10.613333 11.296667 10.596667 11.15 10210800 11.15
"2007-02-09" 11.226667 11.226667 11.04 11.103333 5508300 11.103333
"2007-02-12" 11.13 11.133333 10.93 10.996667 4525500 10.996667
"2007-02-13" 11 11.113333 10.913333 11.1 4573200 11.1
"2007-02-14" 11.113333 11.343333 11.036667 11.333333 5114400 11.333333
"2007-02-15" 11.313333 11.463333 11.213333 11.376667 3302400 11.376667
"2007-02-16" 11.363333 11.396667 11.22 11.39 2922600 11.39
"2007-02-20" 11.4 11.583333 11.333333 11.516667 2695500 11.516667
"2007-02-21" 11.506667 11.66 11.443333 11.523333 2878200 11.523333
"2007-02-22" 11.536667 11.563333 11.333333 11.41 3209700 11.41
"2007-02-23" 11.446667 11.453333 11.273333 11.35 2456400 11.35
"2007-02-26" 11.396667 11.473333 11.273333 11.393333 1996200 11.393333
"2007-02-27" 11.28 11.29 10.926667 10.996667 6903300 10.996667
"2007-02-28" 11.166667 11.546667 11.083333 11.37 9211200 11.37
"2007-03-01" 11.146667 11.486667 11.063333 11.456667 9199800 11.456667
"2007-03-02" 11.403333 11.583333 11.403333 11.42 4864800 11.42
"2007-03-05" 11.3 11.516667 11.213333 11.24 5016900 11.24
"2007-03-06" 11.283333 11.573333 11.236667 11.536667 5110500 11.536667
"2007-03-07" 11.55 11.806667 11.493333 11.643333 7236000 11.643333
"2007-03-08" 11.663333 11.846667 11.583333 11.81 7944900 11.81
"2007-03-09" 11.863333 11.966667 11.666667 11.886667 10210200 11.886667
"2007-03-12" 12.203333 12.406667 12.12 12.22 11418300 12.22
"2007-03-13" 12.273333 12.273333 11.94 11.946667 5419200 11.946667
"2007-03-14" 11.92 11.95 11.683333 11.853333 4673700 11.853333
"2007-03-15" 11.866667 12.043333 11.85 11.993333 3456600 11.993333
"2007-03-16" 11.89 11.996667 11.823333 11.86 3125400 11.86
"2007-03-19" 11.906667 12.116667 11.896667 12.013333 4002600 12.013333
"2007-03-20" 12.04 12.076667 11.923333 12.073333 3822300 12.073333
"2007-03-21" 12.086667 12.333333 12.056667 12.286667 5268300 12.286667
"2007-03-22" 12.3 12.626667 12.3 12.57 6606900 12.57
"2007-03-23" 12.633333 12.77 12.59 12.736667 4547400 12.736667
"2007-03-26" 12.706667 12.74 12.46 12.71 5344800 12.71
"2007-03-27" 12.65 12.693333 12.51 12.556667 3426000 12.556667
"2007-03-28" 12.533333 12.533333 12.283333 12.42 4286700 12.42
"2007-03-29" 12.45 12.54 12.37 12.446667 3798300 12.446667
"2007-03-30" 12.503333 12.786667 12.443333 12.746667 3605400 12.746667
"2007-04-02" 12.703333 12.79 12.546667 12.656667 5397600 12.656667
"2007-04-03" 12.683333 12.886667 12.67 12.87 3732600 12.87
"2007-04-04" 12.723333 12.83 12.483333 12.756667 3909000 12.756667
"2007-04-05" 12.676667 12.736667 12.62 12.693333 2495700 12.693333
"2007-04-09" 12.663333 12.746667 12.583333 12.683333 3225000 12.683333
"2007-04-10" 12.6 12.903333 12.6 12.856667 2629500 12.856667
"2007-04-11" 12.83 12.9 12.706667 12.79 3768600 12.79
"2007-04-12" 12.776667 13.103333 12.713333 13.086667 4361100 13.086667
"2007-04-13" 13.06 13.083333 12.803333 12.876667 4199100 12.876667
"2007-04-16" 12.87 13.04 12.87 12.956667 2519100 12.956667
"2007-04-17" 12.943333 12.97 12.823333 12.883333 2534700 12.883333
"2007-04-18" 12.86 12.93 12.786667 12.836667 2287500 12.836667
"2007-04-19" 12.756667 12.87 12.653333 12.833333 2741100 12.833333
"2007-04-20" 12.903333 13.316667 12.89 13.176667 4133100 13.176667
"2007-04-23" 13.16 13.213333 13.076667 13.146667 1902600 13.146667
"2007-04-24" 13.133333 13.133333 12.906667 12.99 2066400 12.99
"2007-04-25" 13.033333 13.243333 12.983333 13.176667 1650600 13.176667
"2007-04-26" 13.176667 13.306667 13.153333 13.233333 3015900 13.233333
"2007-04-27" 13.233333 13.436667 13.22 13.42 3527100 13.42
"2007-04-30" 13.373333 13.416667 13.09 13.106667 4889400 13.106667
"2007-05-01" 13.1 13.166667 12.896667 12.99 3144300 12.99
"2007-05-02" 13.05 13.113333 12.97 13.083333 3624300 13.083333
"2007-05-03" 13.083333 13.256667 12.98 13.233333 3735000 13.233333
"2007-05-04" 13.286667 13.3 13.173333 13.28 1636200 13.28
"2007-05-07" 13.32 13.353333 13.22 13.296667 1470900 13.296667
"2007-05-08" 13.276667 13.306667 13.16 13.213333 2337300 13.213333
"2007-05-09" 13.22 13.476667 13.156667 13.423333 2712600 13.423333
"2007-05-10" 13.75 13.983333 13.61 13.8 9368400 13.8
"2007-05-11" 13.776667 13.93 13.776667 13.916667 3018900 13.916667
"2007-05-14" 13.876667 13.95 13.773333 13.83 2295300 13.83
"2007-05-15" 13.866667 13.983333 13.606667 13.63 3293100 13.63
"2007-05-16" 13.7 13.813333 13.6 13.713333 2867100 13.713333
"2007-05-17" 13.71 13.756667 13.536667 13.72 3322800 13.72
"2007-05-18" 13.786667 13.82 13.586667 13.783333 3111600 13.783333
"2007-05-21" 13.753333 13.94 13.753333 13.926667 2211900 13.926667
"2007-05-22" 13.95 14 13.85 13.97 1896600 13.97
"2007-05-23" 14 14.33 13.99 14.133333 2835000 14.133333
"2007-05-24" 14.1 14.203333 13.766667 13.86 4183200 13.86
"2007-05-25" 13.87 13.983333 13.826667 13.85 1858500 13.85
"2007-05-29" 13.933333 14.396667 13.923333 14.323333 5556600 14.323333
"2007-05-30" 14.333333 14.42 13.85 14.356667 10618500 14.356667
"2007-05-31" 14.376667 14.706667 13.846667 14.103333 8721600 14.103333
"2007-06-01" 14.18 14.376667 14.106667 14.136667 4089600 14.136667
"2007-06-04" 14.156667 14.24 14.076667 14.16 3306300 14.16
"2007-06-05" 14.133333 14.536667 14.066667 14.516667 4771200 14.516667
"2007-06-06" 14.543333 15.326667 14.366667 15.19 11141700 15.19
"2007-06-07" 15.19 15.19 14.54 14.556667 7839900 14.556667
"2007-06-08" 14.646667 14.693333 14.283333 14.54 6133200 14.54
"2007-06-11" 14.666667 14.83 14.63 14.723333 4722000 14.723333
"2007-06-12" 14.65 14.723333 14.29 14.32 4284600 14.32
"2007-06-13" 14.44 14.65 14.303333 14.5 2720400 14.5
"2007-06-14" 14.546667 14.91 14.503333 14.666667 3415800 14.666667
"2007-06-15" 14.666667 14.683333 14.39 14.45 2898900 14.45
"2007-06-18" 14.556667 14.66 14.433333 14.513333 2723700 14.513333
"2007-06-19" 14.443333 14.513333 14.203333 14.283333 2343600 14.283333
"2007-06-20" 14.3 14.4 14.053333 14.08 1835100 14.08
"2007-06-21" 14.036667 14.246667 13.916667 14.22 1964700 14.22
"2007-06-22" 14.19 14.306667 14 14.006667 5574600 14.006667
"2007-06-25" 13.963333 14.193333 13.95 13.993333 3781200 13.993333
"2007-06-26" 14.12 14.563333 14.08 14.33 5820900 14.33
"2007-06-27" 14.29 14.806667 14.28 14.806667 7457400 14.806667
"2007-06-28" 14.816667 14.836667 14.633333 14.776667 4040400 14.776667
"2007-06-29" 14.816667 14.816667 14.45 14.516667 3849600 14.516667
"2007-07-02" 14.616667 14.833333 14.486667 14.606667 3551400 14.606667
"2007-07-03" 14.673333 14.673333 14.47 14.51 2049300 14.51
"2007-07-05" 14.576667 14.583333 14.393333 14.576667 2543400 14.576667
"2007-07-06" 14.576667 14.75 14.463333 14.736667 2945700 14.736667
"2007-07-09" 14.783333 14.783333 14.346667 14.526667 4163100 14.526667
"2007-07-10" 14.43 14.466667 13.95 13.963333 4383900 13.963333
"2007-07-11" 13.99 14.34 13.833333 14.323333 4719600 14.323333
"2007-07-12" 14.41 14.8 14.41 14.52 3861600 14.52
"2007-07-13" 14.533333 14.623333 14.376667 14.53 2059200 14.53
"2007-07-16" 14.516667 14.563333 14.34 14.463333 1858500 14.463333
"2007-07-17" 14.443333 14.47 14.05 14.123333 2421900 14.123333
"2007-07-18" 14.126667 14.243333 13.95 14.096667 2606700 14.096667
"2007-07-19" 14.2 14.31 14.06 14.09 1583400 14.09
"2007-07-20" 14.066667 14.066667 13.653333 13.76 2457900 13.76
"2007-07-23" 13.846667 13.913333 13.683333 13.783333 3204000 13.783333
"2007-07-24" 13.683333 13.746667 13.426667 13.49 3278700 13.49
"2007-07-25" 13.516667 13.533333 13.303333 13.433333 3177300 13.433333
"2007-07-26" 13.28 13.32 12.643333 12.716667 7203900 12.716667
"2007-07-27" 12.676667 13.153333 12.676667 12.953333 6810300 12.953333
"2007-07-30" 12.936667 13.183333 12.793333 13.09 6328800 13.09
"2007-07-31" 13.21 13.41 12.743333 12.753333 5236500 12.753333
"2007-08-01" 12.763333 13.016667 12.673333 12.906667 6011400 12.906667
"2007-08-02" 12.95 13.53 12.95 13.393333 4637400 13.393333
"2007-08-03" 13.37 13.396667 12.786667 12.833333 4413900 12.833333
"2007-08-06" 12.796667 13.366667 12.786667 13.3 5288400 13.3
"2007-08-07" 13.266667 13.763333 13.223333 13.65 5136300 13.65
"2007-08-08" 13.756667 14.456667 13.486667 14.15 7083300 14.15
"2007-08-09" 13.646667 13.833333 12.446667 13.093333 10488900 13.093333
"2007-08-10" 13.073333 13.5 12.26 13.026667 7036800 13.026667
"2007-08-13" 13.206667 13.616667 12.72 12.72 4946700 12.72
"2007-08-14" 12.67 12.75 12.103333 12.493333 5402100 12.493333
"2007-08-15" 12.446667 12.583333 12.23 12.253333 2841900 12.253333
"2007-08-16" 12.143333 12.33 11.636667 11.963333 5329500 11.963333
"2007-08-17" 12.273333 12.603333 12.146667 12.4 4410300 12.4
"2007-08-20" 12.663333 13.046667 12.51 12.74 4007100 12.74
"2007-08-21" 12.653333 12.783333 12.443333 12.583333 1886100 12.583333
"2007-08-22" 12.73 13 12.696667 12.98 2656500 12.98
"2007-08-23" 13.06 13.5 12.69 12.73 2934000 12.73
"2007-08-24" 12.723333 13.15 12.7 13.083333 3322200 13.083333
"2007-08-27" 13.16 13.426667 13.036667 13.306667 4513800 13.306667
"2007-08-28" 13.36 13.376667 12.873333 12.956667 4689600 12.956667
"2007-08-29" 13.043333 13.696667 12.966667 13.656667 5596800 13.656667
"2007-08-30" 13.44 13.696667 13.346667 13.486667 4035600 13.486667
"2007-08-31" 13.666667 14.566667 13.666667 14.483333 6426900 14.483333
"2007-09-04" 14.393333 14.706667 14.35 14.413333 5671500 14.413333
"2007-09-05" 14.246667 14.306667 13.95 14.076667 5431200 14.076667
"2007-09-06" 14.14 14.4 13.9 14 4119000 14
"2007-09-07" 13.89 13.996667 13.703333 13.773333 4980900 13.773333
"2007-09-10" 13.866667 13.986667 13.463333 13.773333 3974400 13.773333
"2007-09-11" 13.806667 14.076667 13.8 13.94 3997800 13.94
"2007-09-12" 13.943333 13.973333 13.783333 13.786667 3262800 13.786667
"2007-09-13" 13.886667 14.093333 13.713333 13.986667 3067500 13.986667
"2007-09-14" 13.98 14.04 13.733333 13.97 3348300 13.97
"2007-09-17" 13.903333 13.93 13.673333 13.74 2985300 13.74
"2007-09-18" 13.86 14.4 13.763333 14.223333 3684300 14.223333
"2007-09-19" 14.213333 14.71 14.14 14.246667 3954600 14.246667
"2007-09-20" 14.173333 14.27 13.88 13.973333 4094700 13.973333
"2007-09-21" 14.073333 14.13 13.793333 13.87 5597400 13.87
"2007-09-24" 13.923333 14.033333 13.673333 13.733333 3937200 13.733333
"2007-09-25" 13.576667 13.893333 13.446667 13.753333 3658200 13.753333
"2007-09-26" 13.74 13.943333 13.74 13.86 2361600 13.86
"2007-09-27" 13.936667 14.16 13.823333 13.89 3079200 13.89
"2007-09-28" 13.873333 13.943333 13.486667 13.513333 4569300 13.513333
"2007-10-01" 13.493333 13.866667 13.483333 13.75 3200400 13.75
"2007-10-02" 13.856667 14.013333 13.746667 13.976667 4209000 13.976667
"2007-10-03" 13.873333 14.323333 13.873333 14.026667 3339000 14.026667
"2007-10-04" 14.106667 14.14 13.456667 13.503333 5200500 13.503333
"2007-10-05" 13.706667 13.916667 13.57 13.79 4781700 13.79
"2007-10-08" 13.816667 13.826667 13.656667 13.706667 2011200 13.706667
"2007-10-09" 13.716667 13.833333 13.616667 13.8 2378100 13.8
"2007-10-10" 13.75 13.963333 13.75 13.846667 2734200 13.846667
"2007-10-11" 13.986667 14.25 13.873333 13.956667 2633700 13.956667
"2007-10-12" 13.983333 13.983333 13.653333 13.753333 2298000 13.753333
"2007-10-15" 13.73 13.75 13.313333 13.56 2499000 13.56
"2007-10-16" 13.473333 13.523333 13.003333 13.13 3722400 13.13
"2007-10-17" 13.2 13.273333 12.89 13.116667 2778300 13.116667
"2007-10-18" 13.04 13.16 12.876667 13.006667 2056200 13.006667
"2007-10-19" 12.993333 13.06 12.466667 12.486667 3751800 12.486667
"2007-10-22" 11.933333 12.33 11.23 12.296667 13821600 12.296667
"2007-10-23" 12.323333 12.466667 12.076667 12.186667 15086100 12.186667
"2007-10-24" 12.136667 12.293333 11.976667 12.243333 5811300 12.243333
"2007-10-25" 12.3 12.45 12.033333 12.106667 4673400 12.106667
"2007-10-26" 12.236667 12.663333 12.16 12.663333 3560400 12.663333
"2007-10-29" 12.606667 12.693333 12.443333 12.496667 3366300 12.496667
"2007-10-30" 12.51 12.963333 12.413333 12.79 3691800 12.79
"2007-10-31" 12.873333 12.896667 12.52 12.766667 3568500 12.766667
"2007-11-01" 12.596667 12.76 12.193333 12.203333 3633000 12.203333
"2007-11-02" 12.283333 12.396667 12 12.166667 3582600 12.166667
"2007-11-05" 12.01 12.056667 11.353333 11.353333 6434700 11.353333
"2007-11-06" 11.456667 11.666667 11.306667 11.57 3921900 11.57
"2007-11-07" 11.43 11.543333 11.156667 11.16 4146600 11.16
"2007-11-08" 11.09 11.373333 10.036667 10.563333 12883500 10.563333
"2007-11-09" 10.233333 10.233333 9.506667 9.546667 8060400 9.546667
