"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","barrel"
"CH",2020-09-26,92.3,-2.58,5.16,"Castro, Miguel",671277,612434,"strikeout","swinging_strike",NA,NA,NA,NA,13,"Luis Garcia strikes out swinging.","R","L","R","WSH","NYM","S",2,NA,2,2,2020,-1.71,0.36,-0.24,1.46,571788,NA,543228,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,9.73359584988351,-134.034104492558,-4.39312523007123,-22.7305793167587,28.1631923046172,-27.0460516807062,3.38,1.64,NA,NA,NA,92.9,2335,6.7,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.58,NA,NA,0,1,0,0,NA,51,5,"Changeup",3,3,3,3,3,3,3,3,"Strategic","Standard",242,-0.098,-0.465,NA
"CH",2020-09-26,92.5,-2.47,5.1,"Castro, Miguel",671277,612434,NA,"ball",NA,NA,NA,NA,14,"Luis Garcia strikes out swinging.","R","L","R","WSH","NYM","B",NA,NA,1,2,2020,-1.73,0.46,0.34,1.43,571788,NA,543228,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,11.0016043437568,-134.210302482051,-4.5833896548115,-23.2790088646314,28.4449696862987,-25.7553521491252,3.16,1.62,NA,NA,NA,93,2349,6.7,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.47,NA,NA,NA,NA,NA,NA,NA,51,4,"Changeup",3,3,3,3,3,3,3,3,"Strategic","Standard",242,0,0.139,NA
"CH",2020-09-26,91,-2.7,5.12,"Castro, Miguel",671277,612434,NA,"foul",NA,NA,NA,NA,7,"Luis Garcia strikes out swinging.","R","L","R","WSH","NYM","S",NA,NA,1,1,2020,-1.55,0.47,-0.63,1.59,571788,NA,543228,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,8.56593456992552,-132.224867283715,-3.95113877147038,-19.9672455572234,28.2048796058384,-26.0425249993435,3.38,1.64,3,59.2,-27,91.5,2371,6.7,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.7,NA,NA,NA,NA,NA,NA,NA,51,3,"Changeup",3,3,3,3,3,3,3,3,"Strategic","Standard",253,0,-0.148,NA
"SI",2020-09-26,98.1,-2.67,5.22,"Castro, Miguel",671277,612434,NA,"called_strike",NA,NA,NA,NA,8,"Luis Garcia strikes out swinging.","R","L","R","WSH","NYM","S",NA,NA,1,0,2020,-1.31,1.1,0.19,1.92,571788,NA,543228,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,10.7970250957067,-142.354884851562,-5.99668248781233,-20.2951740850688,33.9312732986529,-15.9181241373701,3.55,1.42,NA,NA,NA,98.3,2437,6.6,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.67,NA,NA,NA,NA,NA,NA,NA,51,2,"Sinker",3,3,3,3,3,3,3,3,"Strategic","Standard",245,0,-0.158,NA
"CH",2020-09-26,93.8,-2.98,5.2,"Castro, Miguel",671277,612434,NA,"ball",NA,NA,NA,NA,14,"Luis Garcia strikes out swinging.","R","L","R","WSH","NYM","B",NA,NA,0,0,2020,-1.6,0.33,0.91,1.3,571788,NA,543228,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,13.6753466559842,-135.940800260086,-5.11103070879563,-22.7560824508777,28.7354928644551,-27.0948596075926,3.52,1.5,NA,NA,NA,94.5,2327,6.8,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.98,NA,NA,NA,NA,NA,NA,NA,51,1,"Changeup",3,3,3,3,3,3,3,3,"Strategic","Standard",244,0,0.049,NA
"SI",2020-09-26,98.7,-2.45,5.13,"Castro, Miguel",543228,612434,"single","hit_into_play",NA,NA,NA,NA,6,"Yan Gomes singles on a ground ball to center fielder Guillermo Heredia.   Brock Holt to 3rd.","R","R","R","WSH","NYM","X",8,"ground_ball",3,2,2020,-1.18,0.91,0.48,2.02,NA,NA,571788,0,6,"Bot",118.41,105.06,NA,NA,467092,NA,NA,10.790463029827,-143.372942692297,-5.16703344611519,-18.7185550769053,32.3584740193239,-18.5136594804594,3.11,1.43,52,99.9,1,99.4,2313,6.7,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.45,0.413,0.372,0.9,1,1,0,4,50,6,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",243,0.175,0.579,0
"SI",2020-09-26,99,-2.41,5.06,"Castro, Miguel",543228,612434,NA,"ball",NA,NA,NA,NA,11,"Yan Gomes singles on a ground ball to center fielder Guillermo Heredia.   Brock Holt to 3rd.","R","R","R","WSH","NYM","B",NA,NA,2,2,2020,-1.66,0.8,-2.31,2.68,NA,NA,571788,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,4.18352088323384,-144.018281795194,-2.8801090782042,-24.0595092762083,36.03147991215,-20.5934381302843,3.06,1.39,NA,NA,NA,98.9,2276,6.4,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.41,NA,NA,NA,NA,NA,NA,NA,50,5,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",250,0,0.16,NA
"SL",2020-09-26,88.3,-2.48,5.11,"Castro, Miguel",543228,612434,NA,"ball",NA,NA,NA,NA,14,"Yan Gomes singles on a ground ball to center fielder Guillermo Heredia.   Brock Holt to 3rd.","R","R","R","WSH","NYM","B",NA,NA,1,2,2020,0.47,-0.19,1.89,0.91,NA,NA,571788,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,9.69286318820231,-128.395019906357,-3.78096941621716,3.3605848831411,24.8066787641452,-33.7020503427396,3.06,1.39,NA,NA,NA,88.8,2909,6.5,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.48,NA,NA,NA,NA,NA,NA,NA,50,4,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",239,0,0.069,NA
"SI",2020-09-26,98.2,-2.61,5.01,"Castro, Miguel",543228,612434,NA,"foul",NA,NA,NA,NA,13,"Yan Gomes singles on a ground ball to center fielder Guillermo Heredia.   Brock Holt to 3rd.","R","R","R","WSH","NYM","S",NA,NA,1,1,2020,-1.53,0.62,-0.69,1.07,NA,NA,571788,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,8.83846433183107,-142.689092233413,-6.67081694449278,-22.9912898264578,32.5326065108775,-22.3508647553533,3.11,1.43,NA,NA,NA,99.1,2318,6.8,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.61,NA,NA,NA,NA,NA,NA,NA,50,3,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",245,0,-0.08,NA
"SI",2020-09-26,98.1,-2.51,5.14,"Castro, Miguel",543228,612434,NA,"foul",NA,NA,NA,NA,4,"Yan Gomes singles on a ground ball to center fielder Guillermo Heredia.   Brock Holt to 3rd.","R","R","R","WSH","NYM","S",NA,NA,1,0,2020,-1.24,1.1,-0.5,2.42,NA,NA,571788,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,8.33909777356979,-142.537355521912,-4.42097959793503,-18.83880946736,33.1667080590092,-16.3984726884485,3.11,1.43,NA,NA,NA,98.4,2456,6.6,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.51,NA,NA,NA,NA,NA,NA,NA,50,2,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",246,0,-0.071,NA
