Z-Bon;Buchungsdatum;Buchungszeit;Rechnungsnummer;Zahlungsart;Artikelnummer;Produkt;Produktgruppe;Produktgruppe (Auswertungsbezeichnung);Menge;Einheit;Stückpreis Brutto;Stückpreis Netto;Rabatt Brutto;Rabatt Netto;Preis Brutto;Preis Netto;USt-Satz;USt-Betrag
02.01.2023;02.01.2023;08:20:00;RG2023/1;Barzahlung;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;08:36:30;RG2023/2;Barzahlung;;Caffè Latte;Kaffee;;1;;4,2;3,5;0;0;4,2;3,5;20;0,7
02.01.2023;02.01.2023;08:37:45;RG2023/3;Mastercard;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;08:50:51;RG2023/4;Mastercard;;SchwedischerKnopf;Speisen;;1;;3,6;3,27;0;0;3,6;3,27;10;0,33
02.01.2023;02.01.2023;09:15:53;RG2023/5;Mastercard;;Schokolade;Drinks;;1;;4,3;3,58;0;0;4,3;3,58;20;0,72
02.01.2023;02.01.2023;09:18:57;RG2023/6;Mastercard;;Americano;Kaffee;;1;;2,8;2,33;0;0;2,8;2,33;20;0,47
02.01.2023;02.01.2023;09:24:55;RG2023/7;Barzahlung;;Caffè Latte;Kaffee;;1;;4,2;3,5;0;0;4,2;3,5;20;0,7
02.01.2023;02.01.2023;09:25:22;RG2023/8;Mastercard;;Caffè Latte;Kaffee;;1;;4,2;3,5;0;0;4,2;3,5;20;0,7
02.01.2023;02.01.2023;09:25:22;RG2023/8;Mastercard;;+Hafer;Kaffee;;1;;0,4;0,33;0;0;0,4;0,33;20;0,07
02.01.2023;02.01.2023;09:25:22;RG2023/8;Mastercard;;Croissant;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;09:31:42;RG2023/9;Barzahlung;;Americano;Kaffee;;1;;2,8;2,33;0;0;2,8;2,33;20;0,47
02.01.2023;02.01.2023;09:31:42;RG2023/9;Barzahlung;;Tee;Drinks;;1;;4,1;3,42;0;0;4,1;3,42;20;0,68
02.01.2023;02.01.2023;09:31:42;RG2023/9;Barzahlung;;Croissant;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;09:31:42;RG2023/9;Barzahlung;;Cookie;Speisen;;1;;2,5;2,27;0;0;2,5;2,28;10;0,22
02.01.2023;02.01.2023;09:32:00;RG2023/10;Mastercard;;Schokolade;Drinks;;1;;4,3;3,58;0;0;4,3;3,58;20;0,72
02.01.2023;02.01.2023;09:32:00;RG2023/10;Mastercard;;Croissant;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;09:34:29;RG2023/11;Mastercard;;Espresso double;Kaffee;;1;;3,5;2,92;0;0;3,5;2,92;20;0,58
02.01.2023;02.01.2023;09:34:29;RG2023/11;Mastercard;;Rosinenschnecken;Speisen;;1;;3,3;3;0;0;3,3;3;10;0,3
02.01.2023;02.01.2023;09:50:54;RG2023/12;Mastercard;;Flat white;Kaffee;;1;;4,5;3,75;0;0;4,5;3,75;20;0,75
02.01.2023;02.01.2023;09:50:54;RG2023/12;Mastercard;;+Hafer;Kaffee;;1;;0,4;0,33;0;0;0,4;0,33;20;0,07
02.01.2023;02.01.2023;09:52:42;RG2023/13;Mastercard;;Americano;Kaffee;;1;;2,8;2,33;0;0;2,8;2,33;20;0,47
02.01.2023;02.01.2023;09:52:42;RG2023/13;Mastercard;;Croissant;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;10:03:46;RG2023/14;Barzahlung;;Espresso;Kaffee;;2;;2,5;2,08;0;0;5;4,17;20;0,83
02.01.2023;02.01.2023;10:03:46;RG2023/14;Barzahlung;;Croissant;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;10:18:42;RG2023/15;Barzahlung;;Filter v60;Kaffee;;1;;5,2;4,33;0;0;5,2;4,33;20;0,87
02.01.2023;02.01.2023;10:18:42;RG2023/15;Barzahlung;;Rosinenschnecken;Speisen;;1;;3,3;3;0;0;3,3;3;10;0,3
02.01.2023;02.01.2023;10:23:22;RG2023/16;Maestro;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;10:23:22;RG2023/16;Maestro;;+Hafer;Kaffee;;1;;0,4;0,33;0;0;0,4;0,33;20;0,07
02.01.2023;02.01.2023;10:23:23;RG2023/16;Maestro;;Croissant;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;10:24:16;RG2023/17;Maestro;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;10:24:16;RG2023/17;Maestro;;Croissant;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;10:25:24;RG2023/18;Barzahlung;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;10:25:24;RG2023/18;Barzahlung;;Croissant;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;10:25:24;RG2023/18;Barzahlung;;Muffin;Speisen;;1;;3,3;3;0;0;3,3;3;10;0,3
02.01.2023;02.01.2023;10:27:17;RG2023/19;Maestro;;Croissant;Speisen;;2;;2,5;2,27;0;0;5;4,55;10;0,45
02.01.2023;02.01.2023;10:27:17;RG2023/19;Maestro;;SchwedischerKnopf;Speisen;;1;;3,6;3,27;0;0;3,6;3,27;10;0,33
02.01.2023;02.01.2023;10:27:17;RG2023/19;Maestro;;Schokolade;Drinks;;1;;4,3;3,58;0;0;4,3;3,58;20;0,72
02.01.2023;02.01.2023;10:27:17;RG2023/19;Maestro;;Flat white;Kaffee;;1;;4,5;3,75;0;0;4,5;3,75;20;0,75
02.01.2023;02.01.2023;10:29:22;RG2023/20;Mastercard;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;10:29:22;RG2023/20;Mastercard;;Pona;Alkoholfreie Getränke;;1;;3,9;3,25;0;0;3,9;3,25;20;0,65
02.01.2023;02.01.2023;10:32:27;RG2023/21;Barzahlung;;Espresso macchiato;Kaffee;;1;;2,6;2,17;0;0;2,6;2,17;20;0,43
02.01.2023;02.01.2023;10:32:27;RG2023/21;Barzahlung;;Cookie;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;10:36:28;RG2023/22;Visa;;Espresso macchiato;Kaffee;;1;;2,6;2,17;0;0;2,6;2,17;20;0,43
02.01.2023;02.01.2023;10:38:06;RG2023/23;Amex;;Flat white;Kaffee;;1;;4,5;3,75;0;0;4,5;3,75;20;0,75
02.01.2023;02.01.2023;10:38:06;RG2023/23;Amex;;SchwedischerKnopf;Speisen;;1;;3,6;3,27;0;0;3,6;3,27;10;0,33
02.01.2023;02.01.2023;10:44:38;RG2023/24;Mastercard;;Caffè Latte;Kaffee;;1;;4,2;3,5;-0,4;-0,33;3,8;3,17;20;0,63
02.01.2023;02.01.2023;10:46:12;RG2023/25;Barzahlung;;Caffè Latte;Kaffee;;1;;4,2;3,5;-0,4;-0,33;3,8;3,17;20;0,63
02.01.2023;02.01.2023;10:51:40;RG2023/26;Visa_vpay;;Afternoon Blend;Bags;;1;;10,9;9,08;0;0;10,9;9,08;20;1,82
02.01.2023;02.01.2023;10:51:40;RG2023/26;Visa_vpay;;Prana Chai Masala Blend;Bags;;1;;15;12,5;0;0;15;12,5;20;2,5
02.01.2023;02.01.2023;11:08:11;RG2023/27;Visa;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;11:08:11;RG2023/27;Visa;;Croissant;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;11:15:32;RG2023/28;Mastercard;;Cappuccino;Kaffee;;2;;3,8;3,17;0;0;7,6;6,33;20;1,27
02.01.2023;02.01.2023;11:17:25;RG2023/29;Mastercard;;Caffè Latte;Kaffee;;2;;4,2;3,5;0;0;8,4;7;20;1,4
02.01.2023;02.01.2023;11:17:26;RG2023/29;Mastercard;;Muffin;Speisen;;1;;3,3;3;0;0;3,3;3;10;0,3
02.01.2023;02.01.2023;11:50:43;RG2023/30;Barzahlung;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;11:50:43;RG2023/30;Barzahlung;;Espresso double;Kaffee;;1;;3,5;2,92;0;0;3,5;2,91;20;0,59
02.01.2023;02.01.2023;11:50:43;RG2023/30;Barzahlung;;Muffin;Speisen;;1;;3,3;3;0;0;3,3;3;10;0,3
02.01.2023;02.01.2023;11:50:43;RG2023/30;Barzahlung;;SchwedischerKnopf;Speisen;;1;;3,6;3,27;0;0;3,6;3,27;10;0,33
02.01.2023;02.01.2023;12:09:51;RG2023/31;Mastercard;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;12:09:51;RG2023/31;Mastercard;;+Hafer;Kaffee;;1;;0,4;0,33;0;0;0,4;0,33;20;0,07
02.01.2023;02.01.2023;12:09:51;RG2023/31;Mastercard;;Tee;Drinks;;1;;4,1;3,42;0;0;4,1;3,42;20;0,68
02.01.2023;02.01.2023;12:09:51;RG2023/31;Mastercard;;SchwedischerKnopf;Speisen;;1;;3,6;3,27;0;0;3,6;3,27;10;0,33
02.01.2023;02.01.2023;12:12:12;RG2023/32;Barzahlung;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;12:12:13;RG2023/32;Barzahlung;;SchwedischerKnopf;Speisen;;1;;3,6;3,27;0;0;3,6;3,27;10;0,33
02.01.2023;02.01.2023;12:12:13;RG2023/32;Barzahlung;;Rosinenschnecken;Speisen;;1;;3,3;3;0;0;3,3;3;10;0,3
02.01.2023;02.01.2023;12:13:50;RG2023/33;Barzahlung;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;12:15:57;RG2023/34;Barzahlung;;Espresso macchiato;Kaffee;;1;;2,6;2,17;0;0;2,6;2,17;20;0,43
02.01.2023;02.01.2023;12:15:57;RG2023/34;Barzahlung;;Extra shot;Kaffee;;1;;1;0,83;0;0;1;0,83;20;0,17
02.01.2023;02.01.2023;12:16:39;RG2023/35;Visa_vpay;;Caffè Latte;Kaffee;;1;;4,2;3,5;0;0;4,2;3,5;20;0,7
02.01.2023;02.01.2023;12:27:04;RG2023/36;Barzahlung;;Espresso double;Kaffee;;1;;3,5;2,92;0;0;3,5;2,92;20;0,58
02.01.2023;02.01.2023;12:27:53;RG2023/37;Mastercard;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;12:27:53;RG2023/37;Mastercard;;+Hafer;Kaffee;;1;;0,4;0,33;0;0;0,4;0,33;20;0,07
02.01.2023;02.01.2023;12:31:08;RG2023/38;Mastercard;;Cappuccino;Kaffee;;2;;3,8;3,17;0;0;7,6;6,33;20;1,27
02.01.2023;02.01.2023;12:31:08;RG2023/38;Mastercard;;+Hafer;Kaffee;;2;;0,4;0,33;0;0;0,8;0,67;20;0,13
02.01.2023;02.01.2023;12:34:03;RG2023/39;Barzahlung;;Espresso double;Kaffee;;2;;3,5;2,92;0;0;7;5,83;20;1,17
02.01.2023;02.01.2023;12:36:59;RG2023/40;Visa;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;12:36:59;RG2023/40;Visa;;Flat white;Kaffee;;1;;4,5;3,75;0;0;4,5;3,75;20;0,75
02.01.2023;02.01.2023;12:36:59;RG2023/40;Visa;;+Hafer;Kaffee;;1;;0,4;0,33;0;0;0,4;0,33;20;0,07
02.01.2023;02.01.2023;12:36:59;RG2023/40;Visa;;Rosinenschnecken;Speisen;;1;;3,3;3;0;0;3,3;3;10;0,3
02.01.2023;02.01.2023;12:38:40;RG2023/41;Mastercard;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;12:40:39;RG2023/42;Mastercard;;Flat white;Kaffee;;2;;4,5;3,75;0;0;9;7,5;20;1,5
02.01.2023;02.01.2023;12:40:39;RG2023/42;Mastercard;;+Hafer;Kaffee;;2;;0,4;0,33;0;0;0,8;0,67;20;0,13
02.01.2023;02.01.2023;12:43:09;RG2023/43;Visa;;Cappuccino;Kaffee;;1;;3,8;3,17;0;0;3,8;3,17;20;0,63
02.01.2023;02.01.2023;12:43:10;RG2023/43;Visa;;Flat white;Kaffee;;1;;4,5;3,75;0;0;4,5;3,75;20;0,75
02.01.2023;02.01.2023;12:45:02;RG2023/44;Mastercard;;Cappuccino;Kaffee;;2;;3,8;3,17;0;0;7,6;6,33;20;1,27
02.01.2023;02.01.2023;12:45:02;RG2023/44;Mastercard;;SchwedischerKnopf;Speisen;;1;;3,6;3,27;0;0;3,6;3,27;10;0,33
02.01.2023;02.01.2023;12:58:04;RG2023/45;Gutschein;;Cappuccino;Kaffee;;2;;3,8;3,17;0;0;7,6;6,33;20;1,27
02.01.2023;02.01.2023;12:58:04;RG2023/45;Gutschein;;Extra shot;Kaffee;;1;;1;0,83;0;0;1;0,83;20;0,17
02.01.2023;02.01.2023;12:58:04;RG2023/45;Gutschein;;+Hafer;Kaffee;;2;;0,4;0,33;0;0;0,8;0,67;20;0,13
02.01.2023;02.01.2023;12:58:45;RG2023/46;Visa;;Cappuccino;Kaffee;;2;;3,8;3,17;0;0;7,6;6,33;20;1,27
02.01.2023;02.01.2023;13:07:11;RG2023/47;Barzahlung;;Cookie;Speisen;;1;;2,5;2,27;0;0;2,5;2,27;10;0,23
02.01.2023;02.01.2023;13:07:11;RG2023/47;Barzahlung;;Espresso;Kaffee;;1;;2,5;2,08;0;0;2,5;2,08;20;0,42
02.01.2023;02.01.2023;13:12:18;RG2023/48;Barzahlung;;Espresso;Kaffee;;1;;2,5;2,08;0;0;2,5;2,08;20;0,42
02.01.2023;02.01.2023;13:14:04;RG2023/49;Mastercard;;FritzKola;Alkoholfreie Getränke;;1;;3,8;3,17;-1,9;-1,58;1,9;1,58;20;0,32
